,PEP_ID,YEAR,DAY_BB,DAY_CL,sp,lat,lon,alt
17,3515,1951,105,283,FASY,47.7167,11.4167,620.0
34,3694,1951,109,283,FASY,48.8833,12.6,330.0
36,3579,1951,110,283,FASY,47.95,12.9333,400.0
39,3744,1951,110,288,FASY,49.1333,12.7333,480.0
40,3912,1951,110,265,FASY,49.15,11.6667,520.0
44,3091,1951,110,292,FASY,49.2667,8.75,180.0
54,2842,1951,111,282,FASY,48.7167,9.21667,391.0
66,2038,1951,112,301,FASY,50.0,8.71667,160.0
69,1074,1951,112,312,FASY,51.9,9.85,200.0
72,2916,1951,112,288,FASY,48.6833,10.1667,490.0
84,3984,1951,112,255,FASY,49.3167,12.75,420.0
86,4239,1951,112,285,FASY,49.4,11.4,450.0
89,531,1951,113,283,FASY,51.95,9.73333,200.0
103,1690,1951,114,280,FASY,52.3,8.91667,50.0
106,2166,1951,114,283,FASY,51.2833,9.63333,220.0
113,3827,1951,114,269,FASY,48.75,13.5167,440.0
130,3088,1951,114,280,FASY,49.3833,8.8,130.0
172,1713,1951,115,281,FASY,51.5833,9.3,230.0
176,2009,1951,115,291,FASY,50.5167,8.81667,170.0
183,2153,1951,115,291,FASY,50.75,9.81667,370.0
184,4317,1951,115,271,FASY,50.2833,9.91667,500.0
197,480,1951,115,285,FASY,51.5333,9.93333,150.0
215,199,1951,116,283,FASY,54.1167,10.1667,45.0
223,2217,1951,116,283,FASY,51.0167,9.93333,330.0
227,2294,1951,116,289,FASY,50.8833,9.35,270.0
238,3486,1951,116,291,FASY,48.05,10.8833,590.0
241,3656,1951,116,276,FASY,47.7667,12.65,680.0
242,3693,1951,116,286,FASY,48.8333,12.9667,310.0
246,3865,1951,116,258,FASY,49.3167,12.85,400.0
248,3959,1951,116,281,FASY,49.5333,11.6833,420.0
249,3991,1951,116,278,FASY,50.2667,10.9667,300.0
260,213,1951,117,298,FASY,54.0833,9.65,60.0
266,1539,1951,117,284,FASY,51.8333,7.3,65.0
284,2652,1951,117,270,FASY,49.9833,6.88333,160.0
292,3127,1951,117,294,FASY,49.4167,9.28333,290.0
307,3884,1951,117,270,FASY,49.1667,11.45,400.0
309,3987,1951,117,268,FASY,49.3833,12.7167,520.0
312,4132,1951,117,275,FASY,49.7667,11.55,420.0
316,4241,1951,117,271,FASY,49.2833,10.2667,500.0
350,4256,1951,118,274,FASY,49.45,10.3167,350.0
351,4266,1951,118,278,FASY,49.0167,11.1167,560.0
355,2241,1951,118,283,FASY,51.1333,9.01667,300.0
363,2390,1951,118,288,FASY,49.9833,7.96667,120.0
373,3014,1951,118,297,FASY,49.0833,9.88333,370.0
375,3063,1951,118,291,FASY,49.2167,8.51667,110.0
378,3124,1951,118,268,FASY,49.4667,9.21667,390.0
383,4415,1951,118,253,FASY,50.5333,10.15,440.0
397,2867,1951,119,290,FASY,48.9833,9.36667,290.0
405,3049,1951,119,301,FASY,49.5333,8.48333,95.0
406,3087,1951,119,258,FASY,49.25,8.73333,140.0
417,3630,1951,119,277,FASY,47.8333,10.8,830.0
421,3945,1951,119,274,FASY,48.9,11.6167,400.0
424,4039,1951,119,281,FASY,50.3667,10.8,340.0
429,4386,1951,119,292,FASY,49.7167,10.2167,230.0
436,1326,1951,120,281,FASY,51.5833,6.25,20.0
451,2496,1951,120,263,FASY,49.75,7.3,450.0
454,3076,1951,120,279,FASY,49.4667,9.58333,340.0
455,3628,1951,120,307,FASY,47.8,11.0167,980.0
464,3995,1951,120,255,FASY,50.0,12.0833,530.0
472,4445,1951,120,285,FASY,49.8833,10.0333,260.0
486,2075,1951,121,288,FASY,50.9667,8.5,420.0
491,4364,1951,121,286,FASY,50.15,10.4333,290.0
494,4458,1951,121,256,FASY,47.7333,10.3167,680.0
500,3248,1951,121,308,FASY,47.6,7.65,400.0
502,3520,1951,121,290,FASY,47.6333,13.0,550.0
508,4098,1951,121,276,FASY,50.1167,11.6167,370.0
515,2296,1951,121,286,FASY,51.0,9.06667,320.0
553,202,1951,122,285,FASY,54.1667,10.05,35.0
563,3852,1951,122,288,FASY,49.0333,11.4833,370.0
572,4109,1951,122,311,FASY,50.05,11.15,490.0
574,4223,1951,122,283,FASY,49.0167,11.1833,510.0
576,4492,1951,122,290,FASY,47.5667,10.7,810.0
577,4506,1951,122,289,FASY,48.1667,10.1167,530.0
591,2024,1951,122,288,FASY,50.4667,9.31667,460.0
596,188,1951,123,291,FASY,54.3167,10.2167,15.0
603,1129,1951,123,280,FASY,53.15,8.2,5.0
605,1852,1951,123,281,FASY,51.1,8.5,530.0
616,2253,1951,123,275,FASY,51.35,8.7,420.0
622,2909,1951,123,280,FASY,48.65,9.86667,685.0
623,2914,1951,123,293,FASY,48.6333,10.0167,620.0
629,4263,1951,123,278,FASY,48.9,10.9333,550.0
637,1469,1951,124,291,FASY,50.5667,6.26667,530.0
644,307,1951,124,291,FASY,54.15,9.28333,35.0
694,3983,1951,125,278,FASY,49.6167,12.35,570.0
697,4054,1951,125,290,FASY,49.9333,11.2833,400.0
701,4494,1951,125,289,FASY,47.5667,10.75,810.0
709,2049,1951,126,288,FASY,50.1167,8.91667,110.0
722,2552,1951,126,269,FASY,50.1667,7.55,450.0
760,244,1951,128,296,FASY,54.5167,9.56667,18.0
766,3798,1951,128,275,FASY,49.0833,12.8833,430.0
774,2568,1951,128,272,FASY,49.75,6.65,260.0
783,4517,1951,129,275,FASY,47.7167,10.2333,900.0
789,2893,1951,129,282,FASY,49.1333,10.1833,460.0
792,2615,1951,130,277,FASY,50.2,6.41667,450.0
800,3993,1951,130,278,FASY,50.3167,11.9167,500.0
813,2210,1951,132,287,FASY,51.0333,9.9,320.0
818,4055,1951,132,269,FASY,49.95,11.1667,450.0
830,4172,1951,133,258,FASY,49.3333,10.8,400.0
831,3963,1951,134,279,FASY,49.95,12.2833,550.0
833,4495,1951,134,289,FASY,48.4333,10.4167,460.0
850,1217,1951,140,283,FASY,53.1,8.86667,4.0
860,3876,1951,140,284,FASY,49.8667,11.9,460.0
868,427,1951,143,283,FASY,52.4,9.45,50.0
875,4584,1951,145,287,FASY,47.5667,10.2167,730.0
885,3824,1951,148,270,FASY,48.75,13.8167,720.0
906,1920,1952,101,285,FASY,49.6667,8.65,210.0
922,3237,1952,103,271,FASY,48.3333,7.88333,170.0
